SPECIES_NAME,AGE_BAND,region_ns,very_slow,slow,average,fast,very_fast,n
Barbel,0,North,66,66,66,66,66,1
Barbel,0,South,30,36,38,44,105,18
Barbel,1,North,62,82,91,94,112,41
Barbel,1,South,82,102,105,110,132,109
Barbel,2,North,113,129,132,137,195,70
Barbel,2,South,108,156,165,175,215,167
Barbel,3,North,159,177,181,190,241,62
Barbel,3,South,165,215,223,229,272,115
Barbel,4,North,214,247,263,272,360,28
Barbel,4,South,209,246,268,278,340,50
Barbel,5,North,269,333,350,365,385,35
Barbel,5,South,244,302,313,329,432,43
Barbel,6,North,350,377,394,456,491,20
Barbel,6,South,310,392,415,448,541,42
Barbel,7,North,400,473,477,486,550,32
Barbel,7,South,372,451,467,495,590,47
Barbel,8,North,387,454,470,488,558,32
Barbel,8,South,400,441,482,496,568,42
Barbel,9,North,446,491,497,510,575,33
Barbel,9,South,444,501,514,529,582,54
Barbel,10,North,453,513,520,544,598,32
Barbel,10,South,438,501,523,544,618,52
Barbel,11,North,448,531,534,553,613,24
Barbel,11,South,469,538,567,576,642,45
Barbel,12,North,487,510,527,544,605,20
Barbel,12,South,506,526,560,583,655,29
Barbel,13,North,514,552,591,627,652,23
Barbel,13,South,515,581,590,607,713,32
Barbel,14,North,475,544,598,606,677,20
Barbel,14,South,530,614,624,630,732,21
Barbel,15,North,523,547,552,589,645,9
Barbel,15,South,510,617,655,665,721,17
Barbel,16,North,615,623,632,640,701,7
Barbel,16,South,521,573,592,669,703,7
Barbel,17,South,608,647,659,679,710,12
Barbel,18,North,679,679,679,679,679,2
Barbel,18,South,709,709,709,765,765,2
Barbel,19,South,575,669,669,701,707,4
Barbel,20,South,541,541,541,579,579,2
Bleak,0,North,61,63,64,66,68,7
Bleak,0,South,21,24,26,26,30,95
Bleak,1,North,49,63,68,71,96,121
Bleak,1,South,55,65,69,87,121,54
Bleak,2,North,80,92,97,101,121,174
Bleak,2,South,74,93,98,100,130,98
Bleak,3,North,101,114,117,121,137,153
Bleak,3,South,91,106,109,115,130,56
Bleak,4,North,119,127,131,134,144,82
Bleak,4,South,111,125,127,131,140,22
Bleak,5,North,130,145,147,148,156,10
Bleak,5,South,112,115,118,119,148,10
Bleak,6,North,162,162,162,162,162,1
Bleak,7,North,153,153,153,153,153,1
Chub,0,North,36,41,43,44,67,35
Chub,0,South,24,33,39,44,70,115
Chub,1,North,53,68,74,79,99,162
Chub,1,South,60,75,79,85,110,928
Chub,2,North,96,117,123,127,143,597
Chub,2,South,80,106,114,120,150,2659
Chub,3,North,126,149,152,155,195,405
Chub,3,South,115,144,152,160,199,3162
Chub,4,North,162,183,190,197,234,511
Chub,4,South,152,182,190,199,242,2782
Chub,5,North,210,232,241,253,297,350
Chub,5,South,181,216,226,236,282,1814
Chub,6,North,232,256,268,281,332,353
Chub,6,South,210,251,264,278,336,1270
Chub,7,North,257,305,319,332,381,304
Chub,7,South,243,290,302,317,384,1037
Chub,8,North,302,347,355,368,414,172
Chub,8,South,275,335,349,364,420,923
Chub,9,North,306,364,375,392,433,218
Chub,9,South,303,360,376,390,449,785
Chub,10,North,331,382,395,405,441,246
Chub,10,South,323,389,401,415,456,691
Chub,11,North,369,409,418,425,465,143
Chub,11,South,352,409,418,430,473,613
Chub,12,North,385,420,427,437,479,122
Chub,12,South,369,425,435,444,485,553
Chub,13,North,393,433,448,455,493,104
Chub,13,South,388,434,445,457,496,432
Chub,14,North,414,447,455,465,509,67
Chub,14,South,404,441,455,468,502,313
Chub,15,North,431,458,475,483,522,70
Chub,15,South,416,450,462,472,507,173
Chub,16,North,442,485,501,505,524,30
Chub,16,South,424,460,468,480,514,94
Chub,17,North,434,472,495,502,551,15
Chub,17,South,440,472,482,489,513,48
Chub,18,North,441,450,475,480,503,9
Chub,18,South,434,452,466,468,517,13
Chub,19,North,482,482,482,542,542,2
Chub,19,South,393,475,475,506,523,8
Chub,20,North,448,528,528,528,534,3
Chub,20,South,471,471,471,517,517,2
Common bream,0,North,36,42,46,47,61,15
Common bream,0,South,36,48,51,55,61,30
Common bream,1,North,55,65,66,68,84,23
Common bream,1,South,56,66,71,75,97,300
Common bream,2,North,69,92,99,108,152,46
Common bream,2,South,78,100,105,109,137,640
Common bream,3,North,103,126,137,148,219,33
Common bream,3,South,109,136,143,152,189,599
Common bream,4,North,127,152,160,170,224,40
Common bream,4,South,138,170,178,187,234,422
Common bream,5,North,164,232,248,257,301,47
Common bream,5,South,171,207,218,231,296,314
Common bream,6,North,204,245,256,274,298,20
Common bream,6,South,199,257,272,288,378,218
Common bream,7,North,218,284,286,288,352,11
Common bream,7,South,236,305,336,364,416,156
Common bream,8,North,263,336,336,340,402,13
Common bream,8,South,288,364,380,402,467,136
Common bream,9,North,342,377,377,412,457,6
Common bream,9,South,291,381,396,413,490,107
Common bream,10,North,368,388,403,415,423,12
Common bream,10,South,333,424,437,450,521,85
Common bream,11,North,336,344,390,390,452,5
Common bream,11,South,390,457,468,487,536,111
Common bream,12,North,330,457,457,457,466,3
Common bream,12,South,359,455,483,492,541,62
Common bream,13,North,450,471,471,471,474,3
Common bream,13,South,430,467,474,482,562,47
Common bream,14,South,413,458,471,486,522,26
Common bream,15,South,445,476,486,489,510,25
Common bream,16,South,462,474,487,500,535,14
Common bream,17,South,472,477,477,502,554,4
Common bream,18,South,445,483,483,483,505,4
Common bream,19,South,467,467,467,472,472,2
Dace,0,North,41,46,49,51,65,65
Dace,0,South,34,46,49,52,65,442
Dace,1,North,61,76,81,84,101,615
Dace,1,South,63,83,87,92,114,2866
Dace,2,North,101,114,118,123,148,817
Dace,2,South,90,113,120,126,151,4993
Dace,3,North,130,151,155,161,182,680
Dace,3,South,122,146,152,158,182,3932
Dace,4,North,153,176,180,184,207,384
Dace,4,South,150,170,175,181,205,2653
Dace,5,North,183,194,196,201,228,174
Dace,5,South,169,189,194,200,222,1261
Dace,6,North,194,210,215,218,242,95
Dace,6,South,186,206,210,215,241,526
Dace,7,North,217,232,235,240,253,26
Dace,7,South,197,215,219,223,245,219
Dace,8,North,225,229,230,231,243,13
Dace,8,South,197,222,229,232,256,90
Dace,9,North,236,236,236,253,253,2
Dace,9,South,203,225,232,238,253,23
Dace,10,South,232,236,236,249,300,6
Dace,11,South,286,286,286,286,286,1
Grayling,0,North,63,84,89,94,116,336
Grayling,0,South,77,98,104,111,134,147
Grayling,1,North,153,185,192,197,225,783
Grayling,1,South,114,180,188,195,251,211
Grayling,2,North,222,247,255,263,296,450
Grayling,2,South,206,243,250,260,290,132
Grayling,3,North,254,281,290,297,342,151
Grayling,3,South,240,278,289,295,344,58
Grayling,4,North,260,314,320,334,390,48
Grayling,4,South,289,321,324,353,373,13
Grayling,5,North,285,343,343,356,400,6
Grayling,5,South,331,331,331,331,331,1
Grayling,10,North,408,408,408,408,408,1
Gudgeon,0,North,50,57,60,61,66,35
Gudgeon,0,South,28,33,35,36,46,45
Gudgeon,1,North,63,75,79,83,105,261
Gudgeon,1,South,53,68,75,84,97,35
Gudgeon,2,North,88,102,105,108,121,738
Gudgeon,2,South,72,98,102,109,125,59
Gudgeon,3,North,105,118,122,126,138,256
Gudgeon,3,South,101,112,118,123,135,17
Gudgeon,4,North,121,132,135,138,143,52
Gudgeon,4,South,127,142,147,147,156,11
Gudgeon,5,North,106,148,148,150,156,8
Gudgeon,5,South,161,161,161,161,161,1
Gudgeon,7,North,160,160,160,160,160,1
Perch,0,North,52,61,64,67,85,55
Perch,0,South,47,60,63,70,96,64
Perch,1,North,81,100,105,109,136,305
